iter	Passed	Remaining
490	661	685
491	662	684
492	664	683
493	665	682
494	667	680
495	668	679
496	669	678
497	673	678
498	674	677
499	675	675
500	677	674
501	678	673
502	680	672
503	681	671
504	683	669
505	684	667
506	685	666
507	687	666
508	689	665
509	690	663
510	692	662
511	693	660
512	694	659
513	695	657
514	697	656
515	698	655
516	699	653
517	700	651
518	703	651
519	704	650
520	705	648
521	707	647
522	708	645
523	709	644
524	710	643
525	711	641
526	713	640
527	714	638
528	715	636
529	716	635
530	718	634
531	719	633
532	720	631
533	722	630
534	722	628
535	723	626
536	725	625
537	726	623
538	727	622
539	728	620
540	729	619
541	730	617
542	732	616
543	734	615
544	735	613
545	737	612
546	738	611
547	739	610
548	740	608
549	741	607
550	743	605
551	744	604
552	745	602
553	748	602
554	750	601
555	751	600
556	753	599
557	755	598
558	756	596
559	757	595
560	758	593
561	759	592
562	761	590
563	763	590
564	765	589
565	766	587
566	767	586
567	768	584
568	770	583
569	771	582
570	772	580
571	773	579
572	775	577
573	776	576
574	778	575
575	779	574
576	780	572
577	781	570
578	783	569
579	784	567
580	785	566
581	786	564
582	787	563
583	788	561
584	789	560
585	791	558
586	793	558
587	794	556
588	795	555
589	796	553
590	797	552
591	798	550
592	799	548
593	800	547
594	801	545
595	802	544
596	804	542
597	805	541
598	805	539
599	807	538
600	809	537
601	810	535
602	811	534
603	813	533
604	814	531
605	815	530
606	816	528
607	817	527
608	818	525
609	819	524
610	820	522
611	821	520
612	823	520
613	825	518
614	826	517
615	827	515
616	827	513
617	828	512
618	830	510
619	831	509
620	832	507
621	833	506
622	834	505
623	836	503
624	838	503
625	840	502
626	841	500
627	843	499
628	844	498
629	845	496
630	846	495
631	848	493
632	849	492
633	850	491
634	851	489
635	853	488
636	855	487
637	856	485
638	857	484
639	858	483
640	859	481
641	861	480
642	862	478
643	864	477
644	865	476
645	866	474
646	869	474
647	871	473
648	872	471
649	873	470
650	875	469
651	876	467
652	877	466
653	878	464
654	879	463
655	881	462
656	882	460
657	884	459
658	885	458
659	887	457
660	888	455
661	889	454
662	890	452
663	891	451
664	893	449
665	894	448
666	895	446
667	896	445
668	897	444
669	899	443
670	900	441
671	902	440
672	903	438
673	904	437
674	906	436
675	907	434
676	908	433
677	909	432
678	911	430
679	913	430
680	914	428
681	916	427
682	917	425
683	918	424
684	920	423
685	921	421
686	922	420
687	923	418
688	924	417
689	925	415
690	926	414
691	928	413
692	929	411
693	930	410
694	931	408
695	933	407
696	935	406
697	937	405
698	938	404
699	939	402
700	941	401
701	942	400
702	945	399
703	949	399
704	950	397
705	952	396
706	954	395
707	955	394
708	957	392
709	959	392
710	961	390
711	963	389
712	966	388
713	967	387
714	969	386
715	971	385
716	972	383
717	974	382
718	976	381
719	977	380
720	979	378
721	980	377
722	981	375
723	982	374
724	983	373
725	985	371
726	987	370
727	988	369
728	989	368
729	991	366
730	993	365
731	994	364
732	995	362
733	996	361
734	997	359
735	999	358
736	1000	357
737	1001	355
738	1002	354
739	1004	352
740	1006	351
741	1007	350
742	1008	348
743	1009	347
744	1010	345
745	1011	344
746	1012	343
747	1014	341
748	1015	340
749	1016	338
750	1017	337
751	1020	336
752	1022	335
753	1023	333
754	1024	332
755	1025	331
756	1027	329
757	1028	328
758	1029	326
759	1031	325
760	1032	324
761	1036	323
